Time,i,j,Position,Magnitude
0.0,3,5,35,2
0.0005085,6,5,65,2
0.0307464,7,1,71,3
0.0312241,9,3,93,1
0.0331721,7,9,79,1
0.0355657,8,4,84,1
0.0375962,0,1,1,1
0.0506049,6,7,67,1
0.0510345,7,7,77,4
0.0562389,4,9,49,1
0.061297,1,7,17,1
0.07916,4,6,46,2
0.0808617,6,6,66,4
0.082182,1,1,11,3
0.091901,7,4,74,4
0.109504,9,0,90,7
0.1123924,6,4,64,1
0.1324195,0,4,4,1
0.1410763,2,3,23,2
0.14878,1,0,10,2
0.1706418,1,2,12,5
0.1720152,4,1,41,12
0.181948,6,5,65,1
0.192449,5,9,59,6
0.1928715,2,9,29,2
0.1935924,3,3,33,19
0.1974072,7,5,75,1
0.2202935,4,6,46,2
0.237965,6,9,69,4
0.2604121,9,7,97,6
0.2633662,6,6,66,4
0.2638679,9,4,94,2
0.2682547,8,9,89,1
0.2704759,9,5,95,1
0.2708754,7,4,74,1
0.2712213,3,0,30,1
0.2757155,2,3,23,1
0.2776563,7,3,73,3
0.2830811,1,8,18,3
0.2943699,6,4,64,1
0.3093465,9,6,96,3
0.3292848,0,0,0,1
0.3697823,3,3,33,2
0.37763,6,5,65,1
0.4010937,7,5,75,1
0.4012151,9,3,93,1
0.4165603,7,9,79,1
0.4215793,4,9,49,1
0.4235534,0,4,4,1
0.4366731,0,1,1,7
0.4667544,0,9,9,1
0.4790112,1,4,14,10
0.4791082,1,0,10,1
0.490675,8,2,82,7
0.492221,0,3,3,2
0.4926603,9,9,99,1
0.4954141,5,1,51,10
0.4959752,3,8,38,10
0.4972925,2,9,29,2
0.5076208,2,0,20,1
0.530783,5,0,50,2
0.5372978,0,7,7,1
0.5389112,6,0,60,5
0.5454536,6,8,68,4
0.5503937,0,5,5,1
0.5581603,8,2,82,1
0.565764,6,2,62,7
0.5877763,8,7,87,11
0.592449,1,7,17,3
0.5948495,3,9,39,1
0.6053554,3,0,30,1
0.6272885,3,8,38,2
0.6309788,9,5,95,1
0.6376796,8,9,89,1
0.6382691,1,9,19,1
0.7284341,9,6,96,5
0.7303887,7,9,79,1
0.7325093,2,2,22,16
0.7353594,9,3,93,2
0.7514043,2,6,26,15
0.7905422,4,9,49,14
0.7949256,0,3,3,1
0.8259237,2,2,22,1
0.829804,5,9,59,1
0.835425,1,0,10,1
0.8400662,2,6,26,4
0.8404017,5,0,50,1
0.8425056,2,8,28,2
0.8435498,0,2,2,1
0.8483257,0,6,6,1
